Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
4th,BS Statistics,22,9,8,4,5,6,5,8,9,5,9,3,5,4,1,10378,3287,3593,6759,10512,12998,35055,38864,15113,14527,20720,15103,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,5.0701754385964914,17.48054385964912,0.3854307188282906,1.52114390021296,1.6699137211244086,0.7397544015386892,0.76103500761035,0.6924142175719341,0.1426330052774212,0.23157678056813505,0.19850459868986964,0.3441866868589523,0.19305019305019305,0.06621201085876978,0.4490460802717387,-0.8006297678382747
4th,NA,22,8,6,4,5,6,7,8,6,4,5,10,6,10,8,5016,5192,5681,17936,8440,27752,25913,23169,48839,58033,73351,65176,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,6.991228070175438,38.438508771929826,0.7974481658692185,0.963020030816641,1.0561520859003697,0.3902765388046387,0.9478672985781991,0.21620063418852695,0.15436267510515958,0.21580560231343607,0.20475439710067775,0.10338945082970034,0.13633079303622309,0.12274456855284153,0.3339551652123726,-1.0967485309069802
2nd,B Public Administration,20,8,6,4,5,6,7,8,6,7,5,5,3,9,4,5547,4496,3887,13610,8567,21425,45903,29785,59919,72135,61592,70432,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,5.7368421052631575,41.98979824561404,0.721110510185686,1.112099644128114,1.5436068947774633,0.5143277002204262,0.9338158048324968,0.28004667444574094,0.15249547959828333,0.16786973308712438,0.08344598541364175,0.041588687876897484,0.14612287310040264,0.05679236710586097,0.34306100348737584,-1.0698469948972453
3rd,BS Statistics,21,8,3,4,5,6,4,8,7,8,5,10,7,8,5,4088,3344,2889,8128,6063,16151,13704,19769,22897,35071,53825,105368,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,6.7105263157894735,32.63527192982456,0.9784735812133072,1.4952153110047848,2.0768431983385254,0.4921259842519685,1.3194788058716806,0.4334096959940561,0.5837711617046117,0.2529212403257626,0.43673843734987117,0.19959510706851816,0.14862981885740828,0.04745273707387442,0.5350919393984436,-0.6253166975076522
3rd,BS Statistics,20,7,3,4,5,6,7,6,7,6,9,6,11,9,6,1850,1457,2247,3711,3880,7336,24879,18167,48800,87880,102449,78225,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,7.254385964912281,43.29417543859649,2.1621621621621623,3.4317089910775564,2.67022696929239,1.8862840204796552,1.5463917525773196,0.9541984732824428,0.2411672494875196,0.49540375405955855,0.12295081967213115,0.1251706873008648,0.0878485880779705,0.07670182166826463,0.783645736508172,-0.24379822745301108
3rd,BS Statistics,22,6,8,4,5,6,5,5,5,6,9,8,5,6,5,5098,11009,4479,8608,10120,29040,51608,54719,75399,115088,96386,29488,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,5.9298245614035086,51.01343859649123,0.7846214201647705,0.45417385775274777,1.3395847287340925,0.5808550185873605,0.49407114624505927,0.1721763085399449,0.11626104479925593,0.16447668999798973,0.10610220294698869,0.043445015987765886,0.06224970431390451,0.1695604991861096,0.2740331004221092,-1.2945063754300854
2nd,BS Statistics,20,14,7,4,5,6,7,8,7,10,9,12,13,14,13,3066,1448,2016,3200,5168,12544,40447,53983,85656,99720,107415,156065,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,No,0,10.140350877192983,64.69771929824562,1.304631441617743,3.453038674033149,2.9761904761904763,2.1875,1.5479876160990713,0.5580357142857143,0.24723712512670903,0.16671915232573217,0.14009526478005044,0.13036502206177297,0.13033561420658196,0.08329862557267805,0.735227480040699,-0.30757533099949774
1st,BS Statistics,18,11,6,4,5,6,4,6,9,7,11,3,8,2,5,27906,3680,2015,3506,5288,11543,17991,17528,72942,26208,42311,21608,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,Yes,1,5.859649122807017,24.71971052631579,0.1433383501755895,1.358695652173913,2.977667493796526,1.1409013120365088,1.13464447806354,0.77969332062722,0.389083430604191,0.6275673208580557,0.041128567903265606,0.3052503052503053,0.04726903169388575,0.23139577934098482,0.6026501427294982,-0.5064184451113432
1st,BS Statistics,19,14,8,4,5,6,7,8,9,8,11,12,13,14,11,2570,3239,3144,5385,6032,12359,16503,56904,125873,122703,70288,87015,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,10.052631578947368,56.38918421052632,1.556420233463035,1.5436863229391788,1.9083969465648856,1.2999071494893222,1.3262599469496021,0.7282142568168946,0.4847603466036478,0.19330802755518064,0.09533418604466407,0.105946879864388,0.19918051445481447,0.12641498592196748,0.5775255753721479,-0.5490025512081026
4th,BS Statistics,22,14,7,4,5,6,4,6,9,10,5,10,10,14,13,3258,4865,7448,12631,12657,28440,25816,46897,45775,80016,103681,124231,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,9.035087719298245,54.440456140350875,1.2277470841006752,1.027749229188078,0.8055853920515574,0.31668118122080596,0.47404598246029866,0.31645569620253167,0.3873566780291292,0.10661662792929186,0.2184598580010923,0.1249750049990002,0.13502956182907186,0.104643768463588,0.3201148918401552,-1.1390753106262403
3,BS BIOLOGY,20,10,7,4,5,6,7,8,9,10,9,9,10,9,5,2801,3353,3241,4400,7224,14910,28104,21176,13639,15295,32375,25398,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,Yes,1,7.973684210526316,17.376280701754386,1.4280614066404855,1.4912019087384432,1.8512804689910523,1.5909090909090908,1.1074197120708749,0.6036217303822937,0.3558212354113294,0.42500944465432566,0.6598724246645649,0.6538084341288003,0.277992277992278,0.19686589495235846,0.712284475365869,-0.3392779033134456
3rd,B LIS,23,8,8,4,5,6,7,8,7,3,5,3,10,9,4,4986,4809,4376,11865,7632,31367,37279,39544,42728,68016,60416,60105,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,No,0,6.052631578947368,39.02435087719299,0.8022462896109106,1.039717196922437,1.3711151736745886,0.5899705014749262,1.0482180293501049,0.2231644722160232,0.08047426164864938,0.1264414323285454,0.07021157086687886,0.14702422959303693,0.14896716101694915,0.06655020380999917,0.34378531314712885,-1.0677379061223504
4th,BS Statistics,21,8,5,4,5,6,7,8,7,8,8,9,3,10,10,2465,1466,1638,2400,1983,5416,6417,11456,21472,21983,67608,63992,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,7.526315789473684,24.109184210526315,1.6227180527383367,3.4106412005457027,3.663003663003663,2.9166666666666665,4.034291477559254,1.292466765140325,1.2466884837151317,0.6983240223463687,0.41915052160953803,0.13646908975117136,0.1479114897645249,0.15626953369171145,1.2387057625984872,0.2140670947012779
3rd,BS Statistics,22,15,6.5,4,5,6,7,8,9,10,11,12,13,14,15,3321,4280,5336,6217,11376,38104,45632,56000,72335,136552,88497,114553,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,10.75438596491228,63.30642105263158,1.2044564890093346,1.1682242990654206,1.1244377811094453,1.1259449895447966,0.7032348804500703,0.23619567499475122,0.2191444600280505,0.19642857142857142,0.1658947950508053,0.09520182787509521,0.15819745302100635,0.13094375529231012,0.39296728108813544,-0.9340289248073644
2nd,BS Statistics,20,10,7,4,5,6,7,8,9,10,9,10,3,1,5,13819,8064,13488,16368,37383,36943,34609,38232,84128,31160,34535,14120,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Female,0,Yes,1,6.298245614035087,33.32630701754386,0.2894565453361314,0.6200396825396826,0.44483985765124556,0.427663734115347,0.2140010165048284,0.2436185474920824,0.28894218266924787,0.23540489642184556,0.11886648915937618,0.0962772785622593,0.028956131460836834,0.35410764872521244,0.2429751200711384,-1.4147962274219732
3rd,BS Statistics,23,8,5,4,5,6,7,8,7,7,8,6,6,10,11,1153,1144,1672,2015,2329,4527,6464,7592,17536,16559,43481,40376,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,No,0,7.5964912280701755,16.50937719298246,3.4692107545533393,4.370629370629371,3.588516746411483,3.4739454094292803,3.4349506225848003,1.5462778882261983,1.0829207920792079,1.053740779768177,0.34215328467153283,0.3623407210580349,0.2299855109128125,0.2724390727164652,1.4168230063344693,0.34841704559185105
2nd,BS Statistics,22,8,7,4,5,6,5,8,5,2,5,3,6,5,10,2202,2711,3112,4647,7841,30808,67208,56056,79215,82753,32568,79127,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,Yes,1,5.526315789473684,47.118298245614035,1.8165304268846503,1.8443378827001107,1.9280205655526992,1.0759629868732516,1.02027802576202,0.16229550766034795,0.02975836209975003,0.08919651776794633,0.03787161522438932,0.07250492429277489,0.15352493244902973,0.12637911206035865,0.4555382776109022,-0.786275531540792
3rd,BS Statistics,22,11,5,4,5,6,7,8,9,8,11,6,5,9,10,2161,1633,2160,1943,3296,4280,7736,15936,28328,30231,39584,42624,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,Yes,1,7.7631578947368425,20.064815789473684,1.8509949097639982,3.061849357011635,2.7777777777777777,3.6026762738033966,2.4271844660194173,2.102803738317757,1.0341261633919339,0.6902610441767069,0.21180457497881955,0.16539313949257384,0.22736459175424414,0.2346096096096096,1.160258628439787,0.1486429358189186
3rd,BS Statistics,23,9,5,4,5,6,7,8,9,8,5,6,9,6,9,2969,1896,2559,3296,4144,7936,13472,22544,22232,25665,32007,18960,5,0,0,0,1,0,0,0,hex,small,dynamic,1,0,1,Male,1,Yes,1,7.140350877192983,16.49113157894737,1.3472549680026946,2.6371308016877637,2.3446658851113718,2.1237864077669903,1.9305019305019304,1.1340725806451613,0.5938242280285035,0.22178850248403123,0.26988125224901044,0.3506721215663355,0.18745899334520574,0.47468354430379744,0.8691206158040207,-0.14027336495477122
1st,BS Statistics,19,12,4.5,4,5,6,4,8,9,10,9,12,11,11,10,4523,4775,5319,10824,23375,49649,126230,52119,100038,104984,117256,167177,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,No,0,9.12280701754386,81.87356140350877,0.8843687817820031,1.0471204188481675,1.1280315848843767,0.36954915003695493,0.3422459893048128,0.18127253318294426,0.07922047056959518,0.17268174753928509,0.11995441732141786,0.10477787091366303,0.09381183052466398,0.059816840833368225,0.2649247280019942,-1.3283095386199084
2nd,BS Statistics,20,14,3,4,5,6,7,8,9,5,7,10,6,14,9,5392,9216,4825,13655,18368,26546,150816,41103,49855,20455,72015,52448,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,8.131578947368421,45.5915701754386,0.7418397626112759,0.5425347222222222,1.2435233160621761,0.5126327352618089,0.4355400696864111,0.33903412943569655,0.03315298111606196,0.17030387076369122,0.20058168689198677,0.29332681495966756,0.19440394362285635,0.17159853569249542,0.32443827982476015,-1.1256599617766645
2nd,BS Statistics,20,12,6,4,5,6,7,8,5,7,8,12,5,11,6,2835,3289,5248,6465,10096,16017,37136,33585,39735,46208,37041,63505,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,7.421052631578948,31.74488596491228,1.4109347442680775,1.5202189115232594,1.1432926829268293,1.082753286929621,0.7923930269413629,0.3121683211587688,0.1884963377854373,0.2382015780854548,0.3020007550018875,0.10820637119113573,0.2969682243999892,0.09448074954727974,0.4556417609984876,-0.786048390067877
3rd,BS Statistics,20,8,7,4,5,6,7,8,7,8,5,3,9,11,8,2155,1848,2753,3520,7128,4497,16568,23168,17856,46624,66216,61896,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,7.149122807017544,28.53413157894737,1.8561484918793503,2.705627705627706,2.179440610243371,1.9886363636363635,1.122334455667789,1.5565932844118302,0.48285852245292127,0.21581491712707182,0.16801075268817203,0.19303363074811256,0.1661229914220128,0.12924906294429364,0.7625475375140578,-0.27109042816316276
4th,BS Statistics,22,15,3,4,5,6,7,8,9,7,11,12,13,14,15,2763,4728,8376,11152,17648,28847,61040,69816,78984,67184,75823,130497,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,10.491228070175438,59.494491228070174,1.4477017734346724,1.0575296108291032,0.7163323782234957,0.6276901004304161,0.45330915684496825,0.3119908482684508,0.11467889908256881,0.15755700698980177,0.15192950470981464,0.19349845201238391,0.18464054442583386,0.11494517115335985,0.33098566841287935,-1.1056802023887389
1st,BS Statistics,18,15,7,4,5,6,7,8,9,10,11,12,13,14,15,4213,5783,9280,6721,10031,14256,41582,40776,39128,59184,33144,115520,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,10.75438596491228,40.85215789473684,0.9494422027059103,0.8646031471554556,0.646551724137931,1.041511679809552,0.7975276642408533,0.6313131313131313,0.2404886729835025,0.269766529330979,0.30668574933551424,0.21965396052987293,0.42239922761284093,0.1298476454293629,0.44843920215132377,-0.8019821648631567
3rd,BS Statistics,21,14,3,4,5,6,7,8,9,8,7,12,11,14,9,3825,3056,3560,7079,6094,15185,28881,62129,102631,62352,54081,152712,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,9.175438596491228,55.693868421052635,1.0457516339869282,1.6361256544502618,1.6853932584269662,0.98884023167114,1.3127666557269446,0.5926901547579848,0.2769987188809252,0.11266880200872378,0.11692373649287252,0.17641775724916603,0.2588709528300142,0.058934464875058934,0.5039323739026416,-0.6853131986781443
3rd,BS Statistics,21,15,4,4,5,6,7,8,9,8,11,7,13,14,15,2267,3743,5641,14968,19593,45920,26936,65632,99327,84041,51006,89808,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,10.052631578947368,53.275456140350876,1.76444640494045,1.335826876836762,1.0636411983690834,0.46766435061464456,0.4083090899811157,0.19599303135888502,0.297000297000297,0.16760117016089712,0.07047429198505945,0.15468640306517056,0.27447751244951574,0.16702298236237306,0.37229024689220264,-0.9880814953517877
3rd,BS Statistics,20,8,5,4,5,4,4,8,7,2,6,5,9,2,5,4338,3879,5472,7273,9606,9847,29385,27681,20623,24696,12456,8232,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,5.140350877192983,15.356929824561403,0.9220839096357769,1.288992008249549,0.7309941520467836,0.5499793757734085,0.8328128253175099,0.7108764090585965,0.0680619363620895,0.21675517502980385,0.24244775250933423,0.36443148688046645,0.16056518946692358,0.6073858114674441,0.46929925420709,-0.7565146453432877
4th,BS Electrical Engineering,22,9,8,4,5,6,7,8,9,8,6,6,8,6,9,2602,1409,1720,4801,9223,10623,25880,31167,38791,54673,27455,39368,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,7.12280701754386,26.171394736842107,1.5372790161414296,3.5486160397444997,3.488372093023256,1.4580295771714227,0.8673967255773609,0.8472182999152782,0.3091190108191654,0.1925113100394648,0.15467505349178934,0.14632451118467982,0.218539428155163,0.2286120707173339,0.7460407125117936,-0.2929751058549133
3rd,BS Statistics,21,15,6.5,4,5,6,7,8,2,2,5,12,11,11,15,3911,3473,4480,9113,10601,12943,70872,104503,126623,80687,101911,181807,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,8.324561403508772,78.11836842105262,1.0227563283047814,1.439677512237259,1.3392857142857142,0.7681334357511248,0.7546457881331949,0.15452368075407555,0.028219889378033637,0.04784551639665847,0.0947695126477812,0.13632927237349263,0.10793731785577612,0.08250507406205482,0.3385671357009988,-1.0830328733527959
2nd,BS Statistics,19,11,4.5,4,5,4,7,6,7,8,11,3,6,6,1,4450,5312,4696,6632,5865,6928,13448,23761,16951,25095,17680,25967,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,5.605263157894737,15.708377192982455,0.898876404494382,0.9412650602409639,0.8517887563884157,1.0554885404101326,1.0230179028132993,1.010392609699769,0.594883997620464,0.4629434788098144,0.1769807091027078,0.2390914524805738,0.3393665158371041,0.03851041706781685,0.5235142373905031,-0.6471910524979014
2nd,BS Statistics,17,9,5,4,3,6,5,8,9,6,9,7,9,12,7,3812,4608,7017,8721,10816,9808,25663,35216,36080,64920,51047,68753,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,No,0,7.719298245614035,34.939614035087715,1.0493179433368311,0.6510416666666666,0.8550662676357418,0.5733287467033598,0.7396449704142012,0.9176182707993474,0.2337996337139072,0.2555656519763744,0.19401330376940132,0.13863216266173753,0.23507747761866515,0.10181373903684203,0.3935946507092535,-0.9324337045741025
3rd,BS Statistics,21,4,6,4,3,4,5,4,5,3,9,9,5,9,1,1970,2888,5504,9128,9896,27400,42079,30144,31768,63304,38192,63815,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,5.350877192982456,34.15318421052631,2.030456852791878,1.0387811634349031,0.7267441860465116,0.5477651183172656,0.4042037186742118,0.18248175182481752,0.0712944699256161,0.29856687898089174,0.28330395366406447,0.07898395046126627,0.23565144532886467,0.015670296952127242,0.33635362759259846,-1.089592209396693
1st,BS Statistics,18,15,6,4,5,6,7,8,9,10,11,12,13,14,15,5315,8896,12040,11343,26384,37361,88240,89592,81903,121937,98167,119095,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,10.75438596491228,73.34556140350878,0.7525870178739417,0.5620503597122302,0.4983388704318937,0.6171206911751741,0.30321406913280774,0.24089290971869062,0.11332728921124206,0.1227788195374587,0.14651477967840007,0.10661243100945571,0.14261411676021474,0.12594987195096352,0.23893027413684936,-1.4315835096282052
3rd,BS Statistics,20,8,5,4,5,6,7,8,7,4,7,7,7,9,5,3299,2488,4905,8977,8072,14176,31392,69193,44793,36145,50880,71816,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,6.543859649122807,36.68481578947369,1.2124886329190663,2.009646302250804,1.2232415902140672,0.7797705246741673,0.9910802775024777,0.4937923250564334,0.127420998980632,0.10116630294972034,0.1562744178777934,0.1936644072485821,0.17688679245283018,0.06962236827447922,0.441837917999445,-0.8168121655145452
4th,BS Statistics,22,8,5,4,5,6,7,8,7,8,6,5,9,11,10,4871,3056,5127,12560,8039,11897,54632,26120,37991,69304,44952,92504,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,7.719298245614035,39.756166666666665,0.8211866146581811,1.6361256544502618,1.1702750146284377,0.5573248407643312,0.995148650329643,0.588383626124233,0.1464343242055938,0.22970903522205208,0.13161011818588614,0.12986263419138866,0.24470546360562379,0.10810343336504367,0.4206232177625597,-0.8660178157093644
3rd,BS Statistics,20,9,5,4,5,6,7,8,9,4,8,8,7,12,6,2874,3688,4480,8648,8848,13536,33888,29184,48935,56992,40008,82966,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,7.4035087719298245,35.98756140350877,1.3917884481558802,1.3557483731019522,1.3392857142857142,0.8094357076780758,0.9041591320072333,0.6648936170212766,0.11803588290840415,0.2741228070175439,0.16348217022580974,0.12282425603593487,0.29994001199760045,0.07231878118747438,0.4587993725445252,-0.7791422613291531
2nd,BS Statistics,20,12,6,4,5,6,7,8,9,10,11,12,11,12,2,4941,7336,8960,17824,40304,58961,156033,107610,133024,104368,99112,71992,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,No,0,8.570175438596491,81.16327192982456,0.8095527221210281,0.6815703380588877,0.6696428571428571,0.39272890484739675,0.19849146486701072,0.15264327267176608,0.06408900681266143,0.10222098318000186,0.09020928554245851,0.10539629005059022,0.12107514730809589,0.0277808645405045,0.19916221350214186,-1.6136356430796086
2nd,BS Statistics,21,14,5,1,5,6,7,8,9,5,3,12,10,14,10,16385,10879,7728,18225,19687,21439,109256,65048,59072,103361,95824,158839,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,8.43859649122807,72.18500877192983,0.061031431187061336,0.4596010662744738,0.7763975155279503,0.3840877914951989,0.40635952659115154,0.4197956994262792,0.045764077030094455,0.04611978846390358,0.20314192849404117,0.09674828997397471,0.1461011855067624,0.06295683050132524,0.21551163690288627,-1.5347403713469014
2nd,BS Statistics,20,15,7,4,5,6,7,8,9,6,11,10,13,14,15,3058,4249,7641,11584,11831,29208,47528,73023,79864,108728,106737,103745,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,Yes,1,10.192982456140351,63.32271052631579,1.3080444735120995,1.1767474699929394,0.7852375343541421,0.6042817679558011,0.6761896712027724,0.30813475760065734,0.12624137350614376,0.15063747038604275,0.12521286186517078,0.11956441762931351,0.13116351405791807,0.14458528121837197,0.33527569394573786,-1.0928021186065344
4th,BS Statistics,22,10,8,4,5,6,7,8,4,10,5,5,7,10,10,6666,5886,9127,12327,19073,51847,88368,79903,89280,35856,28407,57329,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Female,0,Yes,1,7.2105263157894735,47.14110526315789,0.6000600060006,0.8494733265375467,0.6573901610605895,0.5678591709256104,0.4194410947412573,0.07715007618570023,0.11316313597682419,0.06257587324631116,0.05600358422939068,0.19522534582775547,0.3520259091069103,0.17443178844912696,0.27361069552069406,-1.2960490021824045
4th,BS Statistics,22,9,8,4,5,6,5,8,9,8,3,6,8,10,10,3345,2024,2624,5472,8576,11503,18817,22969,67225,58359,30849,57065,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,No,0,7.333333333333333,31.08543859649123,1.195814648729447,2.4703557312252964,2.2865853658536586,0.9137426900584795,0.9328358208955224,0.7824045901069286,0.4251474730297072,0.1306108232835561,0.08925251022685013,0.13708254082489418,0.32415961619501443,0.17523876281433454,0.5917823610834154,-0.5246163449968634
4th,BS Statistics,22,14,6,4,5,6,7,8,9,10,11,12,13,14,8,3242,2168,11664,7295,7968,12983,41512,44584,47519,77687,81247,206599,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,No,0,9.833333333333334,61.821,1.2338062924120914,2.3062730627306274,0.51440329218107,0.9595613433858807,1.0040160642570282,0.6932142031887853,0.24089419926768163,0.24672528261259644,0.25253056672068014,0.1673381646864984,0.17231405467278793,0.03872235586813102,0.4724816765725736,-0.7497563125408782
4th,BS Statistics,26,12,7,4,3,6,7,8,7,5,6,12,10,9,6,2600,3864,3280,7295,5279,4576,16961,21457,33551,28440,43808,52408,6,0,0,0,0,1,0,0,square,small,dynamic,0,0,1,Male,1,No,0,7.447368421052632,24.221771929824563,1.5384615384615385,0.7763975155279503,1.829268292682927,0.9595613433858807,1.5154385300246258,1.5297202797202798,0.2947939390366134,0.2796290254928462,0.35766445113409434,0.35161744022503516,0.2054419284149014,0.11448633796366967,0.6412254782767531,-0.4443741237324332
4th,BS Statistics,22,13,3,4,5,6,7,3,7,7,5,5,13,4,7,3481,2800,3248,3447,4010,8585,7857,7393,8752,16583,17576,18080,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,Yes,1,6.385964912280702,10.339,1.1490950876185004,1.7857142857142858,1.8472906403940887,2.030751378009864,0.7481296758104738,0.81537565521258,0.8909252895507191,0.6763154335181929,0.5712979890310786,0.7839353554845323,0.2275830678197542,0.38716814159292035,0.8292676912116277,-0.1872122673920349
4th,BS Statistics,22,15,5,4,5,6,7,8,9,10,11,12,13,14,15,7049,13199,18304,25143,29216,69368,118703,89768,88001,141960,157511,210270,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Female,0,Yes,1,10.75438596491228,102.39675438596491,0.5674563767910342,0.3788165770134101,0.3277972027972028,0.278407509048244,0.2738225629791895,0.12974282089724368,0.08424386915242243,0.1225380982087158,0.13636208679446823,0.09157509157509157,0.08888268120956631,0.0713368526180625,0.16464385433592627,-1.803970596480881
4th,BS Statistics,22,10,7,4,5,6,7,8,5,10,9,5,11,7,5,2698,3913,5016,5689,6790,14320,13592,20305,14993,33297,9121,9983,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,7.105263157894737,13.447078947368421,1.4825796886582654,1.277791975466394,1.1961722488038278,1.230444717876604,1.1782032400589102,0.34916201117318435,0.7357268981753973,0.4432405811376508,0.3334889615153738,0.3303600925008259,0.7674597083653109,0.5008514474606831,0.6970542185521239,-0.36089208279342866
1st,BS Statistics,18,11,5.5,4,5,6,7,8,7,8,11,7,7,9,6,2204,2992,3991,4079,5064,17689,46791,65911,51703,52151,49920,33313,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,Yes,1,7.412280701754386,34.788535087719296,1.8148820326678765,1.6711229946524064,1.5033826108744675,1.7161068889433684,1.5797788309636651,0.3957261574990107,0.17097305037293498,0.1668917176192138,0.13538866216660542,0.13422561408218442,0.18028846153846154,0.18010986701888151,0.5700769811439859,-0.5619838726340262
2nd,BS Statistics,19,12,6,2,5,6,7,8,9,8,11,12,7,12,6,6621,15872,23241,24705,57087,60215,84079,73519,80423,78880,100455,170728,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Female,0,Yes,1,8.394736842105264,79.15930701754387,0.30206917384080956,0.31502016129032256,0.258164450755131,0.28334345274235984,0.14013698390176396,0.14946441916465997,0.09514861023561175,0.14962118635998858,0.1492110465911493,0.08874239350912778,0.11945647304763327,0.035143620261468535,0.1449394015162767,-1.9314395444921078
