Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
3rd,BS Statistics,21,15,4,2,5,6,7,6,4,8,6,10,9,8,15,2297,7241,4465,4849,5368,12784,41632,54528,44752,61080,64208,125423,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,8.087719298245615,47.29451754385965,0.87070091423596,0.6905123601712471,1.343784994400896,1.4435966178593524,1.1177347242921014,0.31289111389236546,0.1921598770176787,0.11003521126760564,0.22345370039327853,0.14734774066797643,0.124595066035385,0.11959528954019598,0.4221786049448319,-0.8623268200181428
2nd,BS Statistics,20,7,6,2,3,4,7,6,4,6,7,7,1,4,2,2874,19272,4815,7216,8416,21392,31503,56896,22488,26664,16585,22984,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,No,0,4.385964912280702,22.64419298245614,0.6958942240779401,0.15566625155666253,0.8307372793354102,0.9700665188470067,0.7129277566539924,0.1869857890800299,0.19045805161413198,0.12303149606299213,0.31127712557808607,0.0375037503750375,0.2411817907747965,0.0870170553428472,0.3060148574791702,-1.1841216243549593
2nd,BS Statistics,20,15,5,4,5,6,7,6,9,10,11,5,11,14,15,5442,4751,4791,6024,14008,17088,46080,76400,44377,113824,163968,128712,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,9.649122807017545,69.49088596491228,0.735023888276369,1.0524100189433803,1.2523481527864746,1.1620185922974768,0.42832667047401485,0.526685393258427,0.2170138888888889,0.14397905759162305,0.11267097820943281,0.09664042732639865,0.08538251366120218,0.1165392504195413,0.36248137173197015,-1.0147821943334323
3rd,BS Statistics,20,7,0,2,5,6,7,6,7,3,6,5,11,11,4,3931,8688,5894,10985,18904,17992,28937,32552,72392,79640,133776,84376,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,No,0,6.508771929824562,54.16274561403508,0.5087763927753752,0.5755064456721916,1.017984390906006,0.6372325898953118,0.31739314430808296,0.38906180524677636,0.10367349759823064,0.18432047186040795,0.06906840534865731,0.13812154696132597,0.08222700633895468,0.0474068455484972,0.2550246981487024,-1.3663948830287933
1st,BS Statistics,19,14,4,4,5,6,7,8,9,10,8,10,9,14,13,1499,1880,2216,2543,5432,14025,30144,50816,51343,87098,85839,87864,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,9.535087719298245,46.883210526315786,2.66844563042028,2.6595744680851063,2.707581227436823,2.752654345261502,1.4727540500736378,0.6417112299465241,0.3317409766454352,0.1574307304785894,0.1947685176168124,0.10333187903281361,0.1630960286117033,0.14795593189474643,0.7918905608175275,-0.23333207750150567
2nd,BS Statistics,20,7,4,4,5,6,7,6,7,4,3,6,5,9,11,2178,1336,1480,2232,3088,3216,14425,16296,23055,34585,82047,76200,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,No,0,6.473684210526316,30.13134210526316,1.8365472910927456,3.7425149700598803,4.054054054054054,3.1362007168458783,1.9430051813471503,2.1766169154228856,0.2772963604852686,0.18409425625920472,0.26024723487312945,0.14457134595923088,0.10969322461515961,0.14435695538057744,1.0611538707146615,0.059356873353098374
4th,BS Statistics,22,9,8,4,5,4,7,8,9,3,6,9,2,4,1,5947,2345,1696,5248,5625,7569,17208,12095,15440,15247,6120,2776,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,4.912280701754386,8.872649122807017,0.6726080376660502,2.1321961620469083,2.358490566037736,1.333841463414634,1.4222222222222223,1.1890606420927468,0.17433751743375175,0.49607275733774286,0.582901554404145,0.1311733455761789,0.6535947712418301,0.36023054755043227,0.7839702001638154,-0.24338426934926086
1st,BS Tourism,18,11,0,4,5,6,7,6,7,10,11,10,11,9,4,2993,4064,4559,11583,12839,22231,38800,45776,82743,61088,60640,128039,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,7.956140350877193,51.68121929824561,1.3364517206815905,1.2303149606299213,1.3160780872998465,0.604333937667271,0.46732611574110133,0.31487562412846926,0.25773195876288657,0.24030059419783292,0.120856144930689,0.18006809848088004,0.14841688654353563,0.031240481415818616,0.3662711060745833,-1.0043814928038663
4th,BS Statistics,22,8,6,4,5,6,7,8,6,2,5,10,11,6,6,2530,3288,3408,5798,7214,11408,19992,36480,39065,41016,44112,56319,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,6.631578947368421,29.065956140350877,1.5810276679841897,1.5206812652068127,1.7605633802816902,1.2073128665056916,1.1089548100914888,0.5259467040673211,0.10004001600640255,0.13706140350877194,0.2559836170485089,0.26818802418568366,0.13601741022850924,0.10653598252809887,0.5185601136957521,-0.6566993203360851
4th,BS Statistics,21,8,5,4,5,6,7,8,7,8,8,5,7,6,9,6835,4097,3295,6056,5369,9775,18535,8607,14855,19490,19848,33448,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,6.93859649122807,15.194412280701753,0.5852231163130943,1.22040517451794,1.8209408194233687,1.1558784676354028,1.490035388340473,0.7161125319693095,0.4316158618829242,0.9294760079005461,0.3365870077415012,0.35915854284248333,0.3022974607013301,0.2690743841186319,0.6784367411356257,-0.3879640374573639
